node_id,terminal_code,terminal_name,venue_id,floor_id,floor_name,lat,lng,radius,type,weight
420367307676,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816606751935,106.6628578763,1.2,2,1
420367307777,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816712463394,106.66310128676,1.2,1,1
420367308282,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816693033564,106.66310899811,1.2,1,1
420367308383,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816666029393,106.66303456681,1.2,1,1
420367308080,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816681836713,106.66307144719,1.2,1,1
420367308181,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816633097474,106.66294873613,1.2,1,1
420367308686,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816854620685,106.66351501628,1.2,2,1
420367308787,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816826299252,106.66343857332,1.2,1,1
420367308484,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816801271007,106.6633742003,1.2,1,1
420367308585,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.81676716025,106.66338800005,1.2,1,1
420367305858,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816996366232,106.66385537497,1.2,1,1
420367305959,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816969362088,106.66378429643,1.2,2,1
420367305656,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816882421901,106.66381916514,1.2,2,1
420367305757,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816922598809,106.66393382958,1.2,2,1
420367306262,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.816964751624,106.66391773633,1.2,1,1
420367306363,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817202348627,106.66436247792,1.2,1,1
420367306060,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817179420941,106.66450107383,1.2,1,1
420367306161,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817218939172,106.66458120482,1.2,1,1
420367306666,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.8172480231,106.66457047599,1.2,1,1
420367306767,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817312898845,106.66475353675,1.2,1,1
420367306464,T2,Ga Quốc Tế T2,420321697575,420322445858,F1 - Gate,10.817332987271,106.66474515485,1.2,1,1
